(xor (xor _F2 _F3) _F8)
rootElement;rootElem;true
System;BodyControl;(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
SoftwareComposition;BodyControl;(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
CompositionType;BodyControl;(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
SystemMapping;BodyControl;(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
EcuInstance;BodyControl;(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
System;BodyControl;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
SoftwareComposition;BodyControl;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
CompositionType;BodyControl;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
SystemMapping;BodyControl;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
EcuInstance;BodyControl;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
SwcToEcuMapping;HumanMachineInterface;(and (or _F9 _F10) (or _F1 _F2) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
SwcToEcuMapping;HumanMachineInterface;(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
ComponentPrototype;Display1;(and (or _F9 _F10) (or _F1 _F2) (or _F3 _F4) _F11 (or _F5 _F6) _F12 (or _F8 _F7))
SwCompToEcuMapping_component;Display1;(and (or _F9 _F10) (or _F1 _F2) (or _F3 _F4) _F11 (or _F5 _F6) _F12 (or _F8 _F7))
ComponentPrototype;D0;(and (or _F1 _F2) (or _F3 _F4) _F11 _F12 (or _F8 _F7))
SwCompToEcuMapping_component;D0;(and (or _F1 _F2) (or _F3 _F4) _F11 _F12 (or _F8 _F7))
System,rootElement,rootElem,System,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
softwareComposition,System,BodyControl,SoftwareComposition,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
softwareComposition,SoftwareComposition,BodyControl,CompositionType,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
mapping,System,BodyControl,SystemMapping,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
EcuInstance,rootElement,rootElem,EcuInstance,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
CompositionType,rootElement,rootElem,CompositionType,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
System,rootElement,rootElem,System,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
softwareComposition,System,BodyControl,SoftwareComposition,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
softwareComposition,SoftwareComposition,BodyControl,CompositionType,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
mapping,System,BodyControl,SystemMapping,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
EcuInstance,rootElement,rootElem,EcuInstance,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
CompositionType,rootElement,rootElem,CompositionType,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
componentPrototype,SwCompToEcuMapping_component,Display1,ComponentPrototype,(and (or _F9 _F10) (or _F1 _F2) (or _F3 _F4) _F11 (or _F5 _F6) _F12 (or _F8 _F7))
componentPrototype,SwCompToEcuMapping_component,D0,ComponentPrototype,(and (or _F1 _F2) (or _F3 _F4) _F11 _F12 (or _F8 _F7))
